Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,"Total 
Claims",Total Beneficiaries,Average Spending Per Dosage Unit (Weighted),Average Spending Per Claim,Average Spending Per Beneficiary,Year
Sulfamethoxazole-Trimethoprim*,Sulfamethoxazole/Trimethoprim,Teva USA, , , , , , , ,2013
Sulfamethoxazole-Trimethoprim*,Sulfamethoxazole/Trimethoprim,Vista Pharmaceu,287368.71,909017.12,45151,34138,0.316659491,6.364614516,8.417854297,2013
Sulfamylon,Mafenide Acetate,Mylan Instituti,85655.08,122921.077,758,423,0.933409304,113.0014248,202.494279,2013
Sulfasalazine,Sulfasalazine,Actavis Pharma/,5183760.59,29389703.6,171004, ,0.176380159,30.31368032, ,2013
Sulfasalazine,Sulfasalazine,Greenstone LLC.,2274165.34,13168314.5,79411,22906,0.172699805,28.63791339,99.28251724,2013
Sulfasalazine,Sulfasalazine,Qualitest/Par P,2924970.71,15524035.64,75750, ,0.188415614,38.61347472, ,2013
Sulfasalazine Dr,Sulfasalazine,Greenstone LLC.,3254757.31,11585549.89,63482,17588,0.280932484,51.27055402,185.0555669,2013
Sulfasalazine Dr,Sulfasalazine,Qualitest/Par P,1954688.14,7818001.1,41045, ,0.25002403,47.62305129, ,2013
Sulfatrim,Sulfamethoxazole/Trimethoprim,"STI Pharma, LLC", , , , , , , ,2013
Sulindac,Sulindac,Actavis Pharma/,2986546.6,11029577.5,154982, ,0.27078592,19.27028042, ,2013
Sulindac,Sulindac,Epic Pharma LLC,723481.05,2715002,49822,19117,0.267324799,14.52131689,37.84490506,2013
Sulindac,Sulindac,Heritage Pharma,245856.9,880485,16982,8113,0.279911863,14.47749971,30.30406755,2013
Sulindac,Sulindac,Major Pharmaceu,15359.86,59822,628,667,0.254579251,24.4583758,23.02827586,2013
Sulindac,Sulindac,Mutual Pharm Co,1230754.38,3833359,47642,18367,0.321261782,25.83339029,67.00900419,2013
Sulindac,Sulindac,Mylan,890641.25,3334755,46466,17333,0.267383395,19.16759028,51.3841372,2013
Sulindac,Sulindac,Mylan Instituti,1496.63,3797,164,44,0.39416118,9.125792683,34.01431818,2013
Sumatriptan,Sumatriptan,Lannett Co. Inc, , , , , , , ,2013
Sumatriptan,Sumatriptan,Sandoz,8287054.66,231528.8,29640,9090,35.80028497,279.5902382,911.6671793,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Actavis Pharma,2096777.85,899034,73872,28156,2.328854022,28.38393234,74.47001882,2013
Sumatriptan Succinate*,Sumatriptan Succinate,App/Fresenius K,71808.62,725.5,256,151,98.97811165,280.5024219,475.5537748,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Aurobindo Pharm,2994033.29,1302191.009,100649,34564,2.300643343,29.7472731,86.6228819,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Auromedics Phar,43779.03,405.5,133,84,107.9630826,329.1656391,521.1789286,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Dr.Reddy'S Lab*,8626163.99,3357524,279979,83864,2.559657483,30.81003929,102.858962,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Mylan,4764708.85,1850734.111,160179,51244,2.571325903,29.74615181,92.98081434,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Northstar Rx Ll,1128124.89,465873,42257,17537,2.419680265,26.6967577,64.32827108,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Ranbaxy/Sun Pha,5219397.41,2137232.64,196415,62438,2.441069003,26.5733137,83.5932831,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Sagent Pharmace,28578.31,476,144,96,60.09103016,198.4604861,297.6907292,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Sandoz,19373923.36,134642.25,39138,10216,145.0186439,495.0156717,1896.42946,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Sun Pharma Glob,15534800.59,107570.5,31345,8702,144.4150635,495.6069737,1785.198873,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Sun Pharmaceuti,2714837.45,963469.5,87243,30102,2.812962861,31.11811206,90.18794266,2013
Sumatriptan Succinate*,Sumatriptan Succinate,Teva USA, , , , , , , ,2013
Sumatriptan Succinate*,Sumatriptan Succinate,"West-Ward, Inc.", , , , , , , ,2013
Sumavel Dosepro,Sumatriptan Succinate,Endo Pharm Inc., , , , , , , ,2013
Suprax,Cefixime,Lupin Pharma,320008.25,14811,1241,1098,20.87519724,257.8632152,291.4464936,2013
Suprep,"Sodium, Potassium,Mag Sulfates",Braintree Labs.,19363297.97,94071243.8,266099,262020,0.205836526,72.76727072,73.90007622,2013
Sure Comfort,"Pen Needle, Diabetic",Allison Medical,2352264.75,8288301,76359,25320,0.283838116,30.80533729,92.90145142,2013
Sure Comfort,"Syring-Needl,Disp,Insul,0.3 Ml",Allison Medical,726754.99,2771470,30721,10322,0.262484019,23.65661893,70.40835013,2013
Sure Comfort,"Syringe And Needle,Insulin,1ml",Allison Medical,2452747.42,9291462.5,100873,29629,0.264235149,24.31520248,82.78198454,2013
Sure Comfort,"Syringe-Needle,Insulin,0.5 Ml",Allison Medical,3574091.69,13331530,153299,42172,0.268257115,23.31451405,84.75034834,2013
Sure Comfort Alcohol,Alcohol Antiseptic Pads,Allison Medical,302624.47,3695952,34090,10378,0.081879978,8.877221179,29.16019175,2013
Sure-Fine Pen Needles,"Pen Needle, Diabetic",One Pharmaceuti,39091.79,145460,1189,478,0.268635436,32.87787216,81.78198745,2013
Sure-Ject Insulin Syringe,"Syring-Needl,Disp,Insul,0.3 Ml",One Pharmaceuti,6418.14,21380,329,101,0.300193639,19.50802432,63.54594059,2013
Sure-Ject Insulin Syringe,"Syringe And Needle,Insulin,1ml",One Pharmaceuti,8284.61,29526,458,395,0.28058694,18.08866812,20.9736962,2013
Sure-Ject Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",One Pharmaceuti,11203.41,48578,687,236,0.230627239,16.30772926,47.47207627,2013
Sure-Prep Alcohol Prep Pads,Alcohol Antiseptic Pads,One Pharmaceuti,479962.17,4082642,24478,10417,0.11756166,19.60789975,46.07489392,2013
Surmontil,Trimipramine Maleate,Teva Women's He,487203.29,103566,1372, ,4.695921691,355.1044388, ,2013
Sustiva,Efavirenz,BMS,67132684.44,3129159,93528,10831,21.91804601,717.7816744,6198.198176,2013
Sutent,Sunitinib Malate,Pfizer US Pharm,145711821.2,711987,19347,4187,239.5647507,7531.49435,34801.00817,2013
Syeda,Ethinyl Estradiol/Drospirenone,Sandoz,280335,147553,4026,783,1.899893598,69.63114754,358.0268199,2013
Sylatron,PEGinterferon Alfa-2b,Merck Sharp & D, , , , , , , ,2013
Symbicort,Budesonide/Formoterol Fumarate,Astrazeneca,683507022.2,29884922.99,2464711,655995,22.86731609,277.3173091,1041.939378,2013
Symbyax,Olanzapine/Fluoxetine HCl,Eli Lilly & Co.,3027139.85,221745,6645,1503,13.6250316,455.5515199,2014.065103,2013
Symlinpen 120,Pramlintide Acetate,Astrazeneca, , , , , , , ,2013
Symlinpen 60,Pramlintide Acetate,Astrazeneca, , , , , , , ,2013
Synalgos-Dc,Aspirin/Caffein/Dihydrocodeine,Caraco Pharma I,10207.62,5747,65,22,1.776164956,157.0403077,463.9827273,2013
Synarel,Nafarelin Acetate,Pharmaci/Pfizer,67138.64,408,44, ,164.5554902,1525.878182, ,2013
Synera,Lidocaine/Tetracaine,Galen US Incorp, , , , , , , ,2013
Synjardy,Empagliflozin/Metformin HCl,Boehringer Ing., , , , , , , ,2013
Synribo,Omacetaxine Mepesuccinate,"Cephalon,Inc.-T",510452.88,696,64,11,733.4093103,7975.82625,46404.80727,2013
Synthroid,Levothyroxine Sodium,Abbvie US LLC,179575493.9,312509012.1,5696921,1101759,0.575082342,31.52149975,162.9898134,2013
Syprine,Trientine HCl,Valeant, , , , , , , ,2013
Tabloid,Thioguanine,Aspen/Prasco La,117475,9234,216,79,12.72200563,543.8657407,1487.025317,2013
Taclonex,Calcipotriene/Betamethasone,Leo Pharma Inc.,19426343.81,1874105,21980,11136,10.35535409,883.8190996,1744.463345,2013
Tacrolimus*,Tacrolimus,AHP,24622.65,11994,55,13,2.052913957,447.6845455,1894.05,2013
Tacrolimus*,Tacrolimus,Accord Healthca,7486506.32,3308025.1,21392,5150,2.311090792,349.9675729,1453.690548,2013
Tacrolimus*,Tacrolimus,Bionpharma Inc., , , , , , , ,2013
Tacrolimus*,Tacrolimus,Dr.Reddy'S Lab,18114467.68,7323784,46534,9288,2.51377964,389.2738144,1950.308751,2013
Tacrolimus*,Tacrolimus,Fougera/Sandoz, , , , , , , ,2013
Tacrolimus*,Tacrolimus,Kremers Urban,1869683.72,782907,5886,1257,2.288242277,317.6492898,1487.417438,2013
Tacrolimus*,Tacrolimus,Mylan,156287.79,72913,513,122,2.137735463,304.6545614,1281.047459,2013
Tacrolimus*,Tacrolimus,Perrigo Co., , , , , , , ,2013
Tacrolimus*,Tacrolimus,Sandoz,14493434.34,5808737.042,44672,8432,2.510783191,324.441134,1718.860809,2013
Tacrolimus*,Tacrolimus,Sandoz/Novaplus,333348.37,155083.4,1417,215,2.103466195,235.249379,1550.457535,2013
Tacrolimus*,Tacrolimus,Strides Pharma, , , , , , , ,2013
Tafinlar,Dabrafenib Mesylate,Novartis, , , , , , , ,2013
Tagrisso,Osimertinib Mesylate,Astrazeneca, , , , , , , ,2013
Taltz Autoinjector,Ixekizumab,Eli Lilly & Co., , , , , , , ,2013
Taltz Autoinjector (2 Pack),Ixekizumab,Eli Lilly & Co., , , , , , , ,2013
Taltz Autoinjector (3 Pack),Ixekizumab,Eli Lilly & Co., , , , , , , ,2013
Taltz Syringe,Ixekizumab,Eli Lilly & Co., , , , , , , ,2013
Tamiflu,Oseltamivir Phosphate,"Genentech, Inc.",52928.4,27905,209,207,1.896735352,253.245933,255.6927536,2013
Tamiflu,Oseltamivir Phosphate,Roche Labs.,56609662.17,5207413.495,516889,480651,10.87078982,109.5199592,117.7770611,2013
Tamoxifen Citrate,Tamoxifen Citrate,Actavis Pharma,655415.06,1450360,30372,38752,0.451898191,21.57958185,16.9130641,2013
Tamoxifen Citrate,Tamoxifen Citrate,Actavis Pharma/,2340566.82,6566324,129687, ,0.366065578,18.04781374, ,2013
Tamoxifen Citrate,Tamoxifen Citrate,Mayne Pharma In, , , , , , , ,2013
Tamoxifen Citrate,Tamoxifen Citrate,Mckesson Packag,6167.77,18849,518,81,0.327220012,11.90689189,76.14530864,2013
Tamoxifen Citrate,Tamoxifen Citrate,Mylan,342394.75,867290,18566,8890,0.407298593,18.44203113,38.51459505,2013
Tamoxifen Citrate,Tamoxifen Citrate,Teva/Mayne Phar,6278106,14495878,252042,36081,0.443177375,24.90896755,174.0003326,2013
Tamsulosin HCl,Tamsulosin HCl,AHP, , , , , , , ,2013
Tamsulosin HCl,Tamsulosin HCl,Actavis Pharma/,41828756.92,91078382.5,1919034, ,0.459261087,21.7967774, ,2013
Tamsulosin HCl,Tamsulosin HCl,Aurobindo Pharm, , , , , , , ,2013
Tamsulosin HCl,Tamsulosin HCl,Citron Pharma L, , , , , , , ,2013
Tamsulosin HCl,Tamsulosin HCl,Major Pharmaceu, , , , , , , ,2013
Tamsulosin HCl,Tamsulosin HCl,Mckesson Packag,6958.76,16748,475,197,0.41549797,14.65002105,35.32365482,2013
Tamsulosin HCl,Tamsulosin HCl,Mylan,12443451.57,12469949.55,398750,63290,0.997875053,31.20614814,196.6100738,2013
Tamsulosin HCl,Tamsulosin HCl,Mylan Instituti,2884506.15,3564582,116377,18649,0.809213016,24.78587822,154.6735026,2013
Tamsulosin HCl,Tamsulosin HCl,Par Pharm.,457710.27,1025652,23755,13010,0.446262738,19.26795496,35.18141968,2013
Tamsulosin HCl,Tamsulosin HCl,Sandoz,3558535.77,9554448,142628,84011,0.372448076,24.94976982,42.35797419,2013
Tamsulosin HCl,Tamsulosin HCl,Sun Pharmaceuti,27327098.51,63058801.38,1203482,347403,0.433358991,22.70669483,78.6610896,2013
Tamsulosin HCl,Tamsulosin HCl,Wockhardt USA L,79426510.98,178037393,3337301,818596,0.446122636,23.7996246,97.02772916,2013
Tamsulosin HCl,Tamsulosin HCl,Zydus Pharmaceu,77124907.12,167573063.4,2999225,816861,0.460246448,25.7149454,94.41619458,2013
Tanzeum,Albiglutide,Glaxosmithkline, , , , , , , ,2013
Tapazole,Methimazole,Pfizer US Pharm,74144.26,64829,1191,305,1.136317451,62.25378673,243.0959344,2013
Tarceva,Erlotinib HCl,"Genentech, Inc.",396670262,2474190,71058,14237,174.3215771,5582.344873,27861.92751,2013
Targretin*,Bexarotene,Valeant*, , , , , , , ,2013
Tarka,Trandolapril/Verapamil HCl,Abbvie US LLC,4568797.14,1215824,22082,4706,3.757764693,206.9014193,970.8451211,2013
Taron-C DHA,"PNV 16/Iron Fum,Ps/Folic/Om-3",Trigen Laborato,7975.42,8910,254,109,0.895108866,31.39929134,73.16899083,2013
Taron-Prex Prenatal,PNV 39/Iron/Folic/Docusate/DHA,Trigen Laborato,3793.04,2670,67, ,1.420614232,56.61253731, ,2013
Tasigna,Nilotinib HCl,Novartis,154917331.6,2102864.993,20746,2807,73.67345029,7467.334984,55189.64431,2013
Tasmar,Tolcapone,Valeant,4622151.25,306425,2698,348,15.08411928,1713.17689,13282.04382,2013
Tazicef*,Ceftazidime,Hospira/Pfizer*,166832.05,169263.399,1881, ,0.9929869,88.69327485, ,2013
Tazorac,Tazarotene,Allergan Inc.,5905561.82,739814,15081,8101,7.974590139,391.5895378,728.9917072,2013
Taztia Xt,Diltiazem HCl,Actavis Pharma/,19018867.1,15459742.3,301284, ,1.25169378,63.1260442, ,2013
Tecentriq,Atezolizumab,"Genentech, Inc.", , , , , , , ,2013
Tecfidera,Dimethyl Fumarate,Biogen-Idec,159212766,2083642,29704,8158,76.43730856,5359.977309,19516.15175,2013
Teflaro,Ceftaroline Fosamil Acetate,Allergan Inc.,3560000.85,1657673.803,6694,1698,2.164393516,531.8196669,2096.584717,2013
Tegretol,Carbamazepine,Novartis,11079699.12,11603189.5,55123,7305,1.253218145,200.9995668,1516.728148,2013
Tegretol XR,Carbamazepine,Novartis,18288980.95,14296357,135121,19799,1.306774444,135.3526169,923.7325597,2013
Tekturna,Aliskiren Hemifumarate,Novartis/Noden,49058349.55,12794968,291943,49945,3.841963379,168.0408489,982.2474632,2013
Tekturna HCT,Aliskiren/Hydrochlorothiazide,Novartis/Noden,10311765.42,2640945,59084,10617,3.903388573,174.5272057,971.2503928,2013
Telmisartan,Telmisartan,Actavis Pharma/, , , , , , , ,2013
Telmisartan,Telmisartan,Alembic Pharmac, , , , , , , ,2013
Telmisartan,Telmisartan,Ascend Laborato, , , , , , , ,2013
Telmisartan,Telmisartan,Aurobindo Pharm, , , , , , , ,2013
Telmisartan,Telmisartan,Glenmark Pharma, , , , , , , ,2013
Telmisartan,Telmisartan,Mylan, , , , , , , ,2013
Telmisartan,Telmisartan,Qualitest/Par P, , , , , , , ,2013
Telmisartan,Telmisartan,Roxane/West-War, , , , , , , ,2013
Telmisartan,Telmisartan,Sandoz, , , , , , , ,2013
Telmisartan,Telmisartan,Torrent Pharmac, , , , , , , ,2013
Telmisartan,Telmisartan,Zydus Pharmaceu, , , , , , , ,2013
Telmisartan-Amlodipine,Telmisartan/Amlodipine,Lupin Pharmaceu, , , , , , , ,2013
Telmisartan-Amlodipine,Telmisartan/Amlodipine,Mylan, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Alembic Pharmac, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Lupin Pharmaceu, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Macleods Pharma, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Mylan, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Qualitest/Par P, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Roxane/West-War, , , , , , , ,2013
Telmisartan-Hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,Torrent Pharmac, , , , , , , ,2013
Temazepam,Temazepam,AHP,311924.71,52069,1787,1027,5.990603046,174.55216,303.7241577,2013
Temazepam,Temazepam,Actavis Pharma/,4575915.7,17466435,469888, ,0.261543427,9.73831147, ,2013
Temazepam,Temazepam,Amneal Pharmace, , , , , , , ,2013
Temazepam,Temazepam,Ascend Laborato,5936183.52,14608394,420167,112373,0.395643778,14.12815266,52.82571009,2013
Temazepam,Temazepam,Avkare, , , , , , , ,2013
Temazepam,Temazepam,Major Pharmaceu, , , , , , , ,2013
Temazepam,Temazepam,Mallinckrodt Ph,5745659.6,915603,34819,12023,6.270987753,165.0150665,477.8890127,2013
Temazepam,Temazepam,Mckesson Packag,733.8,2541,124,67,0.288783943,5.917741936,10.95223881,2013
Temazepam,Temazepam,Mutual Pharm Co,4555431.96,728235,23373,11783,6.255442213,194.9014658,386.6105372,2013
Temazepam,Temazepam,Mylan,20562239.6,66629195.5,1877014,442195,0.331939233,10.95476091,46.5003892,2013
Temazepam,Temazepam,Mylan Instituti,13500.33,39234,2351,737,0.349336873,5.742377712,18.31795115,2013
Temazepam,Temazepam,Qualitest/Par P, , , , , , , ,2013
Temazepam,Temazepam,Sandoz,2924915.95,12549884,354359,99875,0.233320724,8.254103748,29.28576671,2013
Temovate,Clobetasol Propionate,Sandoz,27058.49,4830,96,54,5.602171843,281.8592708,501.0831482,2013
Tencon,Butalbital/Acetaminophen,Int'L Ethical, , , , , , , ,2013
Tenivac,Tetanus-Diphtheria Toxoids/PF,Sanofi-Pasteur,133856.29,2683.2,4042, ,49.83999757,33.11635082, ,2013
Tenoretic 100,Atenolol/Chlorthalidone,Almatica Pharma, , , , , , , ,2013
Tenoretic 50,Atenolol/Chlorthalidone,Almatica Pharma, , , , , , , ,2013
Tenormin,Atenolol,Almatica Pharma, , , , , , , ,2013
Terazol 7,Terconazole,Janssen Pharm., , , , , , , ,2013
Terazosin HCl,Terazosin HCl,Apotex Corp,4717339.82,19751447.22,265967,87934,0.239165717,17.73656063,53.6463691,2013
Terazosin HCl,Terazosin HCl,Jubilant Cadist,11107699.37,79277709.2,986578,242867,0.140758186,11.25881519,45.73572931,2013
Terazosin HCl,Terazosin HCl,Major Pharmaceu,9992.95,32608,910,234,0.309385627,10.98126374,42.70491453,2013
Terazosin HCl,Terazosin HCl,Mylan,4153048.07,17660938,301937,61842,0.236143717,13.75468416,67.15578523,2013
Terazosin HCl,Terazosin HCl,Mylan Instituti,26416.58,80509,2679,424,0.329332974,9.860612169,62.30325472,2013
Terazosin HCl,Terazosin HCl,Sandoz,9351721.69,51945641,713974,180201,0.192884776,13.09812639,51.89605879,2013
Terbinafine HCl,Terbinafine HCl,Aurobindo Pharm,771741.99,1967066.35,54352,30167,0.392331448,14.19896214,25.58232473,2013
Terbinafine HCl,Terbinafine HCl,Avkare,2294.5,5943,202,109,0.386084469,11.35891089,21.05045872,2013
Terbinafine HCl,Terbinafine HCl,Breckenridge,497646.87,1218812.16,33883,18385,0.408304812,14.68721394,27.06809192,2013
Terbinafine HCl,Terbinafine HCl,Camber Pharmace,3132280.96,8845311.879,255212,139207,0.354117639,12.2732511,22.50088688,2013
Terbinafine HCl,Terbinafine HCl,"Cipla USA, Inc.", , , , , , , ,2013
Terbinafine HCl,Terbinafine HCl,Dr.Reddy'S Lab,185382.11,503752.378,14804,9382,0.368002451,12.5224338,19.75933809,2013
Terbinafine HCl,Terbinafine HCl,Exelan Pharmace,2290.52,3978,145,85,0.575796883,15.79668966,26.94729412,2013
Terbinafine HCl,Terbinafine HCl,"Gsms, Inc.",564.76,1734,67,20,0.325697809,8.429253731,28.238,2013
Terbinafine HCl,Terbinafine HCl,Harris Pharm,211059.12,564917.233,17105,9993,0.373610695,12.33903069,21.12069649,2013
Terbinafine HCl,Terbinafine HCl,Northstar Rx Ll,476451.8,1241488.87,37930,20367,0.383774524,12.56134458,23.39332253,2013
Terbutaline Sulfate*,Terbutaline Sulfate,App/Fresenius K,571969.58,32042,356,73,17.85062044,1606.656124,7835.199726,2013
Terbutaline Sulfate*,Terbutaline Sulfate,Impax Generics,277342.01,823488.5,9407, ,0.336789172,29.48251409, ,2013
Terbutaline Sulfate*,Terbutaline Sulfate,Lannett Co. Inc,344985.24,725145,7297,2264,0.472414679,47.27768124,152.3786396,2013
Terbutaline Sulfate*,Terbutaline Sulfate,Marlex Pharm., , , , , , , ,2013
Terconazole,Terconazole,Actavis Pharma/,1067516.56,1163144.62,36663, ,1.063700439,29.1169997, ,2013
Terconazole,Terconazole,Fougera/Sandoz,653692.52,1009229,22003,16025,0.647714761,29.7092451,40.79204493,2013
Terconazole,Terconazole,G & W Labs., , , , , , , ,2013
Terconazole,Terconazole,Perrigo Co.,774249.04,43065,12636,9258,17.97861465,61.27327002,83.63027004,2013
Terconazole,Terconazole,Taro Pharm USA,2285375.4,2835057.7,76922,52963,0.923550789,29.71029614,43.15041444,2013
Terumo Insulin Syringe,"Syringe-Needle,Insulin,0.5 Ml",Terumo,10272.99,52972,667,297,0.193932455,15.40178411,34.58919192,2013
Testim,Testosterone,Auxilium/Endo P,34599124.69,14847835,67700,20212,2.330247116,511.0653573,1711.811038,2013
Testopel,Testosterone,Auxilium/Endo P, , , , , , , ,2013
Testosterone,Testosterone,Actavis Pharma/, , , , , , , ,2013
Testosterone,Testosterone,Par Pharm., , , , , , , ,2013
Testosterone,Testosterone,Perrigo Co., , , , , , , ,2013
Testosterone,Testosterone,Prasco Labs, , , , , , , ,2013
Testosterone,Testosterone,Qualitest/Par P, , , , , , , ,2013
Testosterone,Testosterone,Upsher Smith La, , , , , , , ,2013
Testosterone Cypionate,Testosterone Cypionate,Actavis Pharma/, , , , , , , ,2013
Testosterone Cypionate,Testosterone Cypionate,Hospira/Pfizer, , , , , , , ,2013
Testosterone Cypionate,Testosterone Cypionate,Perrigo Co.,7343384.68,596760.667,161388,62078,12.30541,45.50142935,118.2928683,2013
Testosterone Cypionate,Testosterone Cypionate,Sun Pharmaceuti,9441.16,711,183,183,13.35551736,51.59103825,51.59103825,2013
Testosterone Cypionate,Testosterone Cypionate,"West-Ward, Inc.",298798.8,35233.25,3496,3151,8.480591487,85.4687643,94.8266582,2013
Testosterone Enanthate,Testosterone Enanthate,Actavis Pharma/,1021071.36,77328.55,13438, ,13.2043257,75.98387855, ,2013
Testosterone Enanthate,Testosterone Enanthate,"West-Ward, Inc.",688053.87,52433.5,9030,5160,13.12240972,76.19644186,133.3437733,2013
Tetanus Diphtheria Toxoids,"Tetanus, Diphtheria Tox,Adult",Akorn Inc.,259183.56,7698.6,7883,4869,33.66632375,32.87879741,53.231374,2013
Tetanus Diphtheria Toxoids,"Tetanus, Diphtheria Tox,Adult",Grifols Therape, , , , , , , ,2013
Tetrabenazine,Tetrabenazine,Camber Pharmace, , , , , , , ,2013
Tetrabenazine,Tetrabenazine,Oceanside Pharm, , , , , , , ,2013
Tetrabenazine,Tetrabenazine,Sun Pharmaceuti, , , , , , , ,2013
Tetracaine HCl,Tetracaine HCl,Valeant,2594.47,2967,152,129,0.874442198,17.06888158,20.11217054,2013
Tetracycline HCl,Tetracycline HCl,Actavis Pharma/, , , , , , , ,2013
Tetracycline HCl,Tetracycline HCl,Harris Pharm, , , , , , , ,2013
Tetracycline HCl,Tetracycline HCl,Heritage Pharma,184965.62,89404,1708,1603,2.100012607,108.2936885,115.3871616,2013
Thalomid,Thalidomide,Celgene,100210552.9,460860,15003,2679,219.0667562,6679.367651,37405.95479,2013
Theo-24,Theophylline Anhydrous,Auxilium/Endo P, , , , , , , ,2013
Theophylline,Theophylline Anhydrous,Glenmark Pharma,969116.59,843966,14141,3788,1.155286016,68.53239446,255.8385929,2013
Theophylline,Theophylline Anhydrous,Nostrum/Mylan,1674991.96,1424405,27089,5741,1.179846796,61.83291964,291.7596168,2013
Theophylline,Theophylline Anhydrous,Rhodes Pharmace,854844.26,799767,15173,3817,1.07259112,56.33983128,223.9571024,2013
Theophylline,Theophylline Anhydrous,Silarx/Lannett,235582.81,1200056,1283, ,0.196309847,183.618714, ,2013
Theophylline,Theophylline Anhydrous,Tris Pharma Inc, , , , , , , ,2013
Theophylline Anhydrous,Theophylline Anhydrous,Alembic Pharmac, , , , , , , ,2013
Theophylline Anhydrous,Theophylline Anhydrous,Heritage Pharma,861361.64,3277795,49080,9691,0.262786916,17.55015566,88.8826375,2013
Theophylline Anhydrous,Theophylline Anhydrous,Major Pharmaceu,35793.14,130046.5,2293,920,0.274925685,15.6097427,38.90558696,2013
Theophylline Anhydrous,Theophylline Anhydrous,Teva USA,11298939.24,46573787,607287, ,0.242661599,18.60560038, ,2013
Thiola,Tiopronin,"Retrophin, Inc.",137504.24,114034,440,81,1.205817914,312.5096364,1697.58321,2013
Thioridazine HCl,Thioridazine HCl,Mutual Pharm Co,1579094.25,5118202,67403,8543,0.309474732,23.4276553,184.8407176,2013
Thioridazine HCl,Thioridazine HCl,Mylan,1912978.8,6160542.302,79095,11439,0.31105948,24.18583728,167.2330449,2013
Thioridazine HCl,Thioridazine HCl,Mylan Instituti,68556.11,188303,2694,429,0.356701243,25.4477023,159.8044522,2013
Thiothixene,Thiothixene,Mylan,4026156.92,10011065,140814,18115,0.39865222,28.59202153,222.2554193,2013
Thiothixene,Thiothixene,Mylan Instituti,183285.35,427407,6216,1441,0.423589711,29.48606017,127.1931645,2013
Thiothixene,Thiothixene,Sandoz,90055.08,229371,3939,1872,0.385632613,22.86242194,48.10634615,2013
Tiagabine HCl,Tiagabine HCl,"Cephalon,Inc.-T",3499962.02,677310,7451,1981,5.167894059,469.7305087,1766.76528,2013
Tiagabine HCl,Tiagabine HCl,Sun Pharmaceuti,6315288.51,1210985,14770,2728,5.215757204,427.57539,2314.988457,2013
Tiagabine HCl,Tiagabine HCl,Teva USA, , , , , , , ,2013
Tiazac,Diltiazem HCl,Valeant, , , , , , , ,2013
Tigan*,Trimethobenzamide HCl,Monarch Phrm,23571.85,11092,119,41,2.125121709,198.0827731,574.9231707,2013
Tigan*,Trimethobenzamide HCl,Par Pharmaceuti,162505.97,23290,1893,1341,6.977499785,85.84573164,121.1826771,2013
Tikosyn,Dofetilide,Pfizer US Pharm,66264640.57,15912057.37,186997,29163,4.164274043,354.3620516,2272.216184,2013
Tilia Fe,Norethindrone-E.Estradiol-Iron,Actavis/Mayne P, , , , , , , ,2013
Timolol Maleate*,Timolol Maleate,Akorn Inc.,537069.86,608237,81545,35615,0.882994392,6.586177693,15.07987814,2013
Timolol Maleate*,Timolol Maleate,Apotex Corp,3170910.74,2349066.05,273608,78840,1.344958532,11.58924717,40.21956799,2013
Timolol Maleate*,Timolol Maleate,Hi-Tech/Akorn C,404084.85,403297,25296,13566,1.001953523,15.97425878,29.78658779,2013
Timolol Maleate*,Timolol Maleate,Mylan,1078524.87,1711547,18978,3620,0.623626891,56.83027031,297.935047,2013
Timolol Maleate*,Timolol Maleate,Pacific/Greenst,490481.85,328865.4,42558,14474,1.491065941,11.52502115,33.88709755,2013
Timolol Maleate*,Timolol Maleate,Rising Pharm, , , , , , , ,2013
Timolol Maleate*,Timolol Maleate,Sandoz,26170214,9981229.08,1269412,365599,2.961306822,20.61601277,71.58174393,2013
Timolol Maleate*,Timolol Maleate,Valeant,13671511.81,1648783.5,247694,69776,8.289713237,55.19516747,195.9343013,2013
Timoptic Ocudose,Timolol Maleate/PF,Valeant,6271998.68,1171943,15560,4619,5.351794993,403.0847481,1357.869383,2013
Timoptic-Xe,Timolol Maleate,Valeant,837984.53,29955,4226,1277,27.97477984,198.2926006,656.2134143,2013
