Medicare Billing Code (HCPCS Code),Drug Description,Brand Name,Generic Name,Total Spending,Total Dosage Units,Total Claims,Total Beneficiaries,Average Spending Per Dosage Unit,Average Spending Per Claim,Average Spending Per Beneficiary,Year
J2358,"Injection, olanzapine, long-acting, 1 mg",Zyprexa Relprevv,Olanzapine Pamoate,311852.4,115411,1471,1057,2.702102919,212.0002719,295.0353832,2014
J2360,"Injection, orphenadrine citrate, up to 60 mg",Orphenadrine Citrate,Orphenadrine Citrate,150876.77,25873.5,18256,7109,5.831324328,8.264503177,21.22334646,2014
J2400,"Injection, chloroprocaine hydrochloride, per 30 ml",Nesacaine*,Chloroprocaine HCL*,29111.46,1624,1318,694,17.92577586,22.08760243,41.9473487,2014
J2405,"Injection, ondansetron hydrochloride, per 1 mg",Ondansetron HCL (J2405)*,Ondansetron HCL*,441397.1,4323783.1,357148,76684,0.102085856,1.235894083,5.75605211,2014
J2407,"Injection, oritavancin, 10 mg",Orbactiv,Oritavancin Diphosphate, , , , , , , ,2014
J2425,"Injection, palifermin, 50 micrograms",Kepivance,Palifermin,416536.75,28894,163,104,14.41602928,2555.440184,4005.161058,2014
J2426,"Injection, paliperidone palmitate extended release, 1 mg",Invega Sustenna,Paliperidone Palmitate,14503895.47,1917406.5,12202,2460,7.564329979,1188.649031,5895.892468,2014
J2430,"Injection, pamidronate disodium, per 30 mg",Pamidronate DIsodium,Pamidronate DIsodium,425697.14,38950,15955,3777,10.92932324,26.68111188,112.7077416,2014
J2469,"Injection, palonosetron hcl, 25 mcg",Aloxi,Palonosetron HCL,182130300,9473483,889919,158147,19.22527333,204.6594129,1151.651944,2014
J2501,"Injection, paricalcitol, 1 mcg",Paricalcitol*,Paricalcitol*,54812.31,31463,566,100,1.742119633,96.8415371,548.1231,2014
J2505,"Injection, pegfilgrastim, 6 mg",Neulasta,Pegfilgrastim,1172854885,358643,343102,98432,3270.257289,3418.38545,11915.38204,2014
J2507,"Injection, pegloticase, 1 mg",Krystexxa,Pegloticase,11337840.48,17204,2029,269,659.0235108,5587.895752,42148.10587,2014
J2510,"Injection, penicillin g procaine, aqueous, up to 600,000 units",Penicillin G Procaine,Penicillin G Procaine,26930.24,1808,1267,867,14.89504425,21.25512234,31.06140715,2014
J2540,"Injection, penicillin g potassium, up to 600,000 units",Penicillin G Potassium*,Penicillin G Potassium*,30121.06,46565,699,248,0.646860518,43.09164521,121.4558871,2014
J2543,"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)",Piperacillin-Tazobactam*,Piperacillin Sodium/Tazobactam*,203333.7,103331.5,4396,883,1.967780396,46.25425387,230.2759909,2014
J2545,"Pentamidine isethionate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 300 mg",Nebupent,Pentamidine Isethionate,79091.43,930,920,259,85.04454839,85.96894565,305.3723166,2014
J2550,"Injection, promethazine hcl, up to 50 mg",Phenergan*,Promethazine HCL*,229473.64,145879.4,135581,70746,1.573036632,1.692520633,3.24362706,2014
J2562,"Injection, plerixafor, 1 mg",Mozobil,Plerixafor,15920323.7,53914,2028,1291,295.2910877,7850.258235,12331.77669,2014
J2597,"Injection, desmopressin acetate, per 1 mcg",Ddavp*,Desmopressin Acetate*,520945.08,102456.9,4287,3594,5.084529007,121.5173968,144.9485476,2014
J2675,"Injection, progesterone, per 50 mg",Progesterone*,Progesterone*,644.97,583,581,148,1.106295026,1.11010327,4.357905405,2014
J2680,"Injection, fluphenazine decanoate, up to 25 mg",Fluphenazine Decanoate,Fluphenazine Decanoate,334137.3,18994,9576,1498,17.59172897,34.89320175,223.0556075,2014
J2690,"Injection, procainamide hcl, up to 1 gm",Procainamide HCL,Procainamide HCL,16248.73,904,813,381,17.97425885,19.98613776,42.6475853,2014
J2700,"Injection, oxacillin sodium, up to 250 mg",Oxacillin*,Oxacillin In Dextrose(Iso-Osm)*,87212.23,48206,454,54,1.809157159,192.0974229,1615.041296,2014
J2704,"Injection, propofol, 10 mg",Diprivan*,Propofol*, , , , , , , ,2014
J2720,"Injection, protamine sulfate, per 10 mg",Protamine Sulfate,Protamine Sulfate,791.22,786.5,432,298,1.006001272,1.831527778,2.655100671,2014
J2724,"Injection, protein c concentrate, intravenous, human, 10 iu",Ceprotin,"Protein C, Human",17788.88,1257,15,11,14.15185362,1185.925333,1617.170909,2014
J2765,"Injection, metoclopramide hcl, up to 10 mg",Metoclopramide HCL,Metoclopramide HCL,19007.71,21781,14342,4332,0.87267389,1.325317947,4.387744691,2014
J2770,"Injection, quinupristin/dalfopristin, 500 mg (150/350)",Synercid,Quinupristin/Dalfopristin,165102.96,787,392,314,209.787751,421.1810204,525.8056051,2014
J2778,"Injection, ranibizumab, 0.1 mg",Lucentis,Ranibizumab,1331003515,3411745.5,674319,141579,390.1239159,1973.848452,9401.136571,2014
J2780,"Injection, ranitidine hydrochloride, 25 mg",Ranitidine HCL*,Ranitidine HCL*,398425.19,347871,168603,29012,1.145324531,2.363096683,13.73311699,2014
J2783,"Injection, rasburicase, 0.5 mg",Elitek,Rasburicase,7416424.07,34832,1556,965,212.9198458,4766.339377,7685.413544,2014
J2785,"Injection, regadenoson, 0.1 mg",Lexiscan,Regadenoson,116901524.1,2247704.5,574408,568198,52.00929398,203.516532,205.740823,2014
J2790,"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)",Hyperrho S-D*,Rho(D) Immune Globulin*,42273.36,513,513,490,82.40421053,82.40421053,86.27216327,2014
J2791,"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu",Rhophylac,Rho(D) Immune Globulin,22058.31,4710,278,251,4.683292994,79.34643885,87.88171315,2014
J2792,"Injection, rho d immune globulin, intravenous, human, solvent detergent, 100 iu",Winrho SDf,Rho(D) Immune Globulin/Maltose,1937412.77,105011,584,208,18.44961737,3317.48762,9314.484471,2014
J2794,"Injection, risperidone, long acting, 0.5 mg",Risperdal Consta,Risperidone Microspheres,8923405.41,1524138.5,16927,2367,5.854720821,527.1699303,3769.922015,2014
J2795,"Injection, ropivacaine hydrochloride, 1 mg",Naropin*,Ropivacaine HCL/PF*,8198.03,72636.7,5202,3181,0.11286347,1.575938101,2.577186419,2014
J2796,"Injection, romiplostim, 10 micrograms",NPlate,Romiplostim,134937045.9,2606631,59818,3506,51.76683846,2255.793338,38487.46318,2014
J2800,"Injection, methocarbamol, up to 10 ml",Methocarbamol*,Methocarbamol*,104769.55,2949,2822,1385,35.5271448,37.1259922,75.64588448,2014
J2805,"Injection, sincalide, 5 micrograms",Kinevac,Sincalide,486358.73,6065.9,6030,6011,80.17915396,80.6565058,80.91145067,2014
J2820,"Injection, sargramostim (gm-csf), 50 mcg",Leukine,Sargramostim,9221014.49,298876,28958,2443,30.85230828,318.4271873,3774.463565,2014
J2850,"Injection, secretin, synthetic, human, 1 microgram",Chirhostim,Secretin Acetate (Human),188573.91,6216,393,375,30.33685811,479.8318321,502.86376,2014
J2916,"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg",Ferrlecit*,Sodium Ferric Gluconat/Sucrose*,1067949.09,423237,42916,6378,2.523288583,24.8846372,167.4426294,2014
J2920,"Injection, methylprednisolone sodium succinate, up to 40 mg",MethylprednIsolone Sodium Succ (J2920)*,MethylprednIsolone Sod Succ*,238634.87,131554.1,87968,46017,1.813967562,2.71274634,5.185798075,2014
J2930,"Injection, methylprednisolone sodium succinate, up to 125 mg",MethylprednIsolone Sodium Succ (J2930)*,MethylprednIsolone Sod Succ*,858782.46,323446.5,205235,119413,2.655098942,4.184385997,7.191699899,2014
J2997,"Injection, alteplase recombinant, 1 mg",Activase*,Alteplase*,38112503.78,628926.5,85393,56387,60.59929702,446.3188292,675.9094078,2014
J3010,"Injection, fentanyl citrate, 0.1 mg",Fentanyl Citrate,Fentanyl Citrate/PF,285642.65,500056.3,141384,73996,0.571220981,2.020332216,3.860244473,2014
J3060,"Injection, taliglucerace alfa, 10 units",Elelyso,Taliglucerase Alfa,1604534.51,52949,104,22,30.30339591,15428.21644,72933.38682,2014
J3070,"Injection, pentazocine, 30 mg",Talwin,Pentazocine Lactate,8811.05,160,121,86,55.0690625,72.81859504,102.4540698,2014
J3095,"Injection, telavancin, 10 mg",Vibativ,Telavancin HCL,347521.43,83908.5,700,171,4.141671344,496.4591857,2032.289064,2014
J3101,"Injection, tenecteplase, 1 mg",Tnkase,Tenecteplase,5763696.73,72746,1710,1685,79.2304282,3370.582883,3420.591531,2014
J3105,"Injection, terbutaline sulfate, up to 1 mg",Terbutaline Sulfate,Terbutaline Sulfate,1093.34,411,385,241,2.660194647,2.839844156,4.536680498,2014
J3121,"Injection, testosterone enanthate, 1 mg",Testosterone Enanthate,Testosterone Enanthate, , , , , , , ,2014
J3230,"Injection, chlorpromazine hcl, up to 50 mg",Chlorpromazine HCL,Chlorpromazine HCL,5706.77,294,267,141,19.41078231,21.37367041,40.4735461,2014
J3240,"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial",Thyrogen,Thyrotropin Alfa,13642580.32,10730,8457,5314,1271.442714,1613.170193,2567.290237,2014
J3243,"Injection, tigecycline, 1 mg",Tigecycline*,Tigecycline*,1338999.84,731558,3773,1457,1.830339959,354.8899655,919.011558,2014
J3250,"Injection, trimethobenzamide hcl, up to 200 mg",Tigan,Trimethobenzamide HCL,69712.92,5650.5,5375,3905,12.3374781,12.96984558,17.85222023,2014
J3260,"Injection, tobramycin sulfate, up to 80 mg",Tobramycin Sulfate,Tobramycin Sulfate,58777.68,22485.9,12858,6459,2.613979427,4.571292581,9.100120762,2014
J3262,"Injection, tocilizumab, 1 mg",Actemra,Tocilizumab,141671505.3,39039499.5,71087,9931,3.628927294,1992.931271,14265.58305,2014
J3285,"Injection, treprostinil, 1 mg",Remodulin,Treprostinil Sodium,167574101.8,2758081,10462,1234,60.75749835,16017.40602,135797.4893,2014
J3300,"Injection, triamcinolone acetonide, preservative free, 1 mg",Triesence,Triamcinolone Acetonide/PF,7808089.82,2288476.5,67238,40445,3.411916102,116.1261462,193.054514,2014
J3301,"Injection, triamcinolone acetonide, not otherwise specified, 10 mg",Kenalog*,Triamcinolone Acetonide*,19558416.82,11171000.4,2641803,1642717,1.750820528,7.40343501,11.90613893,2014
J3315,"Injection, triptorelin pamoate, 3.75 mg",Trelstar,Triptorelin Pamoate,18266601.84,102349,28957,13550,178.4736719,630.8181732,1348.088697,2014
J3357,"Ustekinumab, for subcutaneous injection, 1 mg",Stelara,Ustekinumab,21309186.09,142999,2453,904,149.0163294,8686.989845,23572.10851,2014
J3360,"Injection, diazepam, up to 5 mg",Diazepam,Diazepam,55022.09,13716.5,9903,5575,4.011379725,5.556103201,9.869433184,2014
J3370,"Injection, vancomycin hcl, 500 mg",Vancomycin*,Vancomycin HCL In 5 % Dextrose*,722672.44,350627.7,81695,19064,2.061081997,8.845981272,37.90770248,2014
J3380,"Injection, vedolizumab, 1 mg",Entyvio,Vedolizumab, , , , , , , ,2014
J3385,"Injection, velaglucerase alfa, 100 units",Vpriv,Velaglucerase Alfa,29743470.88,85491,1851,110,347.9134749,16068.86595,270395.1898,2014
J3396,"Injection, verteporfin, 0.1 mg",Visudyne,Verteporfin,6420431.2,605264.5,4126,3455,10.60764542,1556.090936,1858.30136,2014
J3410,"Injection, hydroxyzine hcl, up to 25 mg",Hydroxyzine HCL,Hydroxyzine HCL,2882.09,7834,5699,3120,0.367895073,0.505718547,0.923746795,2014
J3411,"Injection, thiamine hcl, 100 mg",Thiamine HCL,Thiamine HCL,91747.82,27083.5,25627,5254,3.387590969,3.580123307,17.4624705,2014
J3415,"Injection, pyridoxine hcl, 100 mg",Pyridoxine HCL,Pyridoxine HCL (Vitamin B6),179063.51,24172.5,22741,4049,7.407736477,7.874038521,44.22413188,2014
J3420,"Injection, vitamin b-12 cyanocobalamin, up to 1000 mcg",Cyanocobalamin Injection,Cyanocobalamin (Vitamin B-12),4818554.11,2332311.6,2320352,582668,2.06599929,2.076647901,8.269810784,2014
J3430,"Injection, phytonadione (vitamin k), per 1 mg",Vitamin K1,Phytonadione (Vit K1),23133.33,22071.5,4283,3221,1.048108647,5.401197759,7.18203353,2014
J3465,"Injection, voriconazole, 10 mg",Vfend IV*,Voriconazole*,88942.95,22783,430,211,3.903917395,206.8440698,421.5305687,2014
J3471,"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)",Vitrase,"Hyaluronidase,ovine",216266.62,245584,320,183,0.880621783,675.8331875,1181.784809,2014
J3473,"Injection, hyaluronidase, recombinant, 1 usp unit",Hylenex,"Hyaluronidase, Human Recomb.",5103.07,16153,186,154,0.315920882,27.43586022,33.13681818,2014
J3475,"Injection, magnesium sulfate, per 500 mg",Magnesium Sulfate*,Magnesium Sulfate*,125440.77,618571.5,126883,23798,0.20279106,0.988633387,5.271063535,2014
J3480,"Injection, potassium chloride, per 2 meq",Dextrose 5%-Potassium Chloride*,Potassium Chloride In D5W*,44150.15,643886.5,59394,17950,0.068568218,0.743343604,2.459618384,2014
J3489,"Injection, zoledronic acid, 1 mg",Reclast*,Zoledronic Acid/Mannitol-Water*,124876554.6,1717499.8,396992,192286,72.70833719,314.556854,649.4313397,2014
J7030,"Infusion, normal saline solution , 1000 cc",Sodium Chloride (J7030),0.9 % Sodium Chloride,375256.06,285746.9,253925,86734,1.313246303,1.477822428,4.326516245,2014
J7040,"Infusion, normal saline solution, sterile (500 ml = 1 unit)",Sodium Chloride (J7040),0.9 % Sodium Chloride,244161.76,367177.5,297878,86764,0.664969286,0.819670335,2.814090637,2014
J7042,5% dextrose/normal saline (500 ml = 1 unit),Dextrose 5%-0.9% NaCl,Dextrose 5 % And 0.9 % NaCl,29443.16,51685,34316,14221,0.569665474,0.858000933,2.070400113,2014
J7050,"Infusion, normal saline solution, 250 cc",Sodium Chloride (J7050),0.9 % Sodium Chloride,420479.05,1249460,818235,195437,0.33652862,0.513885436,2.151481296,2014
J7060,5% dextrose/water (500 ml = 1 unit),Dextrose In Water (J7060),Dextrose 5 % In Water,96832.47,75877,55227,11756,1.276176839,1.753353794,8.236855223,2014
J7070,"Infusion, d5w, 1000 cc",Dextrose In Water (J7070),Dextrose 5 % In Water,22564.92,9869.8,8560,2801,2.286259093,2.636088785,8.056022849,2014
J7120,"Ringers lactate infusion, up to 1000 cc",Lactated Ringers,"Ringer's Solution,lactated",31019.84,28267.8,26002,11982,1.097356002,1.192979002,2.588869972,2014
J7180,"Injection, factor xiii (antihemophilic factor, human), 1 i.u.",Corifact,Factor XIII,1167922.21,4755,46, ,245.6198128,25389.61326, ,2014
J7182,"Injection, factor viii, (antihemophilic factor, recombinant), (novoeight), per iu",Novoeight,"Antihemoph.FVIII,b-Dom Truncat", , , , , , , ,2014
J7183,"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco",Wilate,Antihemophilic Factor/VWF,1227912.75,385296,80,31,3.186933552,15348.90938,39610.08871,2014
J7185,"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u.",Xyntha*,"Antihemoph.FVIII,b-Domain Del*",15038063.73,406481,650,76,36.99573591,23135.48266,197869.2596,2014
J7186,"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u.",Alphanate (J7186),Antihemophilic Factor/VWF,10752178.29,923371,591,55,11.64448341,18193.19508,195494.1507,2014
J7187,"Injection, von willebrand factor complex (humate-p), per iu vwf:rco",Humate-P,Antihemophilic Factor/VWF,21691174.84,4247273.6,1477,363,5.107082068,14685.96807,59755.30259,2014
J7189,"Factor viia (antihemophilic factor, recombinant), per 1 microgram",Novoseven RT,"Coagulation Factor VIIA,recomb",106222357.8,1794787,1971,172,59.18382391,53892.6219,617571.8475,2014
J7190,"Factor viii (antihemophilic factor, human) per i.u.",Alphanate (J7190)*,Antihemophilic Factor/VWF*,29302369.26,4441626,1155,200,6.597216709,25370.01668,146511.8463,2014
J7192,"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified",Advate*,"Antihemophil.FVIII,full Length*",224276577.9,16440532.6,7861,950,13.64168567,28530.28596,236080.6084,2014
J7193,"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u.",Alphanine SD*,Factor Ix*,19103088.13,1277155,566,97,14.95753306,33751.0391,196939.0529,2014
J7194,"Factor ix, complex, per i.u.",Bebulin*,"Factor Ix Cplx(Pcc)no6,3factor*",1548573.7,529642,226,194,2.923812122,6852.096018,7982.33866,2014
J7195,"Injection, factor ix (antihemophilic factor, recombinant) per iu, not otherwise specified",Benefix,Factor Ix Human Recombinant,62037606.06,4330856,1950,302,14.32455987,31814.15695,205422.5366,2014
J7198,"Anti-inhibitor, per i.u.",Feiba NF,Anti-Inhibitor Coagulant Comp.,41098063.99,1119184.1,1035,123,36.72145091,39708.27439,334130.6015,2014
J7200,"Injection, factor ix, (antihemophilic factor, recombinant), rixubis, per iu",Rixubis,Factor Ix Human Recombinant, , , , , , , ,2014
J7201,"Injection, factor ix, fc fusion protein, (recombinant), alprolix, 1 i.u.",Alprolix,"Factor Ix Rec, Fc Fusion Protn", , , , , , , ,2014
J7205,"Injection, factor viii fc fusion protein (recombinant), per iu",Eloctate,"Antihemoph.FVIII Rec,fc Fusion", , , , , , , ,2014
J7308,"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)",Levulan,Aminolevulinic Acid HCL,35268769.27,150268.5,130383,85919,234.7050065,270.5012868,410.4885912,2014
J7312,"Injection, dexamethasone, intravitreal implant, 0.1 mg",Ozurdex,Dexamethasone,21209506.68,108201,15332,9098,196.019507,1383.348988,2331.227377,2014
J7313,"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg",Iluvien,Fluocinolone Acetonide, , , , , , , ,2014
J7316,"Injection, ocriplasmin, 0.125 mg",Jetrea,Ocriplasmin/PF,6872143.9,6995.5,1756,1708,982.3663641,3913.521583,4023.503454,2014
J7321,"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose",Hyalgan*,Hyaluronate Sodium*,70935083.91,798899.4,615381,131588,88.79100912,115.2701886,539.0695497,2014
J7323,"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose",Euflexxa,Hyaluronate Sodium,64526152.08,417573,314288,98339,154.5266387,205.3089907,656.1603441,2014
J7324,"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose",Orthovisc,Hyaluronate Sodium,79158807.76,442788,338402,99425,178.7736067,233.9194442,796.1660323,2014
J7325,"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg",Synvisc*,Hylan G-F 20*,141784371.2,11550410,283685,167557,12.27526739,499.7950938,846.1859021,2014
J7326,"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose",Gel-One,"Hyaluronate Sod, Cross-Linked",15135415.42,27285,21540,18880,554.71561,702.6655255,801.6639523,2014
J7327,"Hyaluronan or derivative, monovisc, for intra-articular injection, per dose",Monovisc,"Hyaluronate Sodium, Stabilized", , , , , , , ,2014
J7336,"Capsaicin 8% patch, per square centimeter",Qutenza,Capsaicin/Skin Cleanser, , , , , , , ,2014
J7500,"Azathioprine, oral, 50 mg",Azasan*,Azathioprine*,349339.15,1827173,34538,4479,0.191191064,10.11463171,77.99489842,2014
J7502,"Cyclosporine, oral, 100 mg",Cyclosporine (J7502)*,Cyclosporine*,8659138.56,2746500,44620,5801,3.1527903,194.0640646,1492.697563,2014
J7503,"Tacrolimus, extended release, (envarsus xr), oral, 0.25 mg",Envarsus Xr,Tacrolimus, , , , , , , ,2014
J7507,"Tacrolimus, immediate release, oral, 1 mg",Hecoria*,Tacrolimus*,122004760,90125847,642234,75598,1.353715544,189.9693258,1613.862271,2014
J7508,"Tacrolimus, extended release, (astagraf xl), oral, 0.1 mg",Astagraf Xl,Tacrolimus,1477363.86,3758472,2211,460,0.39307566,668.1880868,3211.660565,2014
J7509,"Methylprednisolone oral, per 4 mg",Medrol*,MethylprednIsolone*,19978.81,36523,1262,318,0.54701996,15.83106973,62.82644654,2014
J7510,"Prednisolone oral, per 5 mg",Flo-Pred*,PrednIsolone Acetate*,5936.95,56558,1729,438,0.104971003,3.433747831,13.55468037,2014
J7511,"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25 mg",Thymoglobulin,"Lymphocyte Immune Glob,rabbit",1899251.3,3365,636,373,564.4134621,2986.244182,5091.826542,2014
J7512,"Prednisone, immediate release or delayed release, oral, 1 mg",PrednIsone*,PrednIsone*, , , , , , , ,2014
J7515,"Cyclosporine, oral, 25 mg",Cyclosporine (J7515)*,Cyclosporine*,10944627.62,12979367,89194,10854,0.843232772,122.7058728,1008.349698,2014
J7517,"Mycophenolate mofetil, oral, 250 mg",Cellcept*,Mycophenolate Mofetil*,77735514.54,61270297,379994,47310,1.268730826,204.5703736,1643.109587,2014
J7518,"Mycophenolic acid, oral, 180 mg",Mycophenolic Acid*,Mycophenolate Sodium*,132505194.6,35858864,210705,26084,3.695186624,628.8659244,5079.94152,2014
J7520,"Sirolimus, oral, 1 mg",Rapamune*,Sirolimus*,52686082.66,3561791,60541,7684,14.79201971,870.2545822,6856.595869,2014
J7525,"Tacrolimus, parenteral, 5 mg",Prograf,Tacrolimus,36501.39,570,215,32,64.03752632,169.773907,1140.668438,2014
J7527,"Everolimus, oral, 0.25 mg",Zortress,Everolimus,15302583.88,2284198,8145,1208,6.699324612,1878.770274,12667.70189,2014
J7605,"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms",Brovana,Arformoterol Tartrate,148733871.3,24166805,409400,68011,6.154469792,363.2971943,2186.909049,2014
J7606,"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms",Perforomist,Formoterol Fumarate,68479041.14,10184923,170430,28171,6.723569843,401.8015675,2430.834587,2014
J7608,"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per gram",Acetylcysteine,Acetylcysteine,628637.66,253533.5,11193,3157,2.479505312,56.16346467,199.1250111,2014
J7611,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg",Albuterol Sulfate (J7611),Albuterol Sulfate,231091.59,2238791.5,38022,26254,0.103221577,6.077838883,8.802147863,2014
J7612,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg",Levalbuterol Concentrate*,Levalbuterol HCL*,27510.37,145759.2,5003,3322,0.188738481,5.498774735,8.281267309,2014
J7613,"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg",Albuterol Sulfate (J7613),Albuterol Sulfate,18131224.13,355053591.4,1647169,529048,0.051066162,11.0075069,34.27141607,2014
J7614,"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg",Levalbuterol HCL*,Levalbuterol HCL*,1173417.71,12775717.3,93766,42121,0.091847501,12.5143198,27.85825859,2014
J7620,"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme",Ipratropium-Albuterol,Ipratropium/Albuterol Sulfate,27067357.13,149722219,1509383,408404,0.180783836,17.93272955,66.27593542,2014
J7626,"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg",Budesonide*,Budesonide*,225184615.3,43620093,747786,135307,5.162405666,301.1351045,1664.24956,2014
J7631,"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams",Cromolyn Sodium,Cromolyn Sodium,161351.07,383489,2065,651,0.420744976,78.13611138,247.851106,2014
J7639,"Dornase alfa, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Pulmozyme,Dornase Alfa,18331884.02,546645,7023,1216,33.53526332,2610.263993,15075.56252,2014
J7644,"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram",Ipratropium Bromide,Ipratropium Bromide,4547279.82,19655751.5,433824,125552,0.231346017,10.48185398,36.21829855,2014
J7674,"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg",Provocholine,Methacholine Chloride,88945.04,183420.4,3305,3276,0.484924469,26.91226626,27.15050061,2014
J7682,"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams",Bethkis*,Tobramycin*,32417777.79,316328,6371,2218,102.4815312,5088.334295,14615.76997,2014
J7686,"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg",Tyvaso*,Treprostinil*,205055983.9,441718,15954,2055,464.2237443,12852.95123,99783.93377,2014
J8501,"Aprepitant, oral, 5 mg",Aprepitant*,Aprepitant*,1119901.13,155820,4535,2210,7.187146259,246.9462249,506.7425928,2014
J8510,"Busulfan; oral, 2 mg",Myleran,Busulfan,17099.61,1592,78,23,10.74096106,219.2257692,743.4613044,2014
J8520,"Capecitabine, oral, 150 mg",Capecitabine (J8520)*,Capecitabine*,4447088.27,470877,9364,2958,9.444267335,474.9133138,1503.410504,2014
J8521,"Capecitabine, oral, 500 mg",Capecitabine (J8521)*,Capecitabine*,274077439.2,8724655,114883,27045,31.41412917,2385.70928,10134.12606,2014
J8530,"Cyclophosphamide; oral, 25 mg",Cyclophosphamide (J8530),Cyclophosphamide,891960.85,881202,12556,3526,1.012209289,71.03861501,252.9667754,2014
J8540,"Dexamethasone, oral, 0.25 mg",Dexamethasone,Dexamethasone,7862.46,62562,670,281,0.125674691,11.73501493,27.9802847,2014
J8560,"Etoposide; oral, 50 mg",Etoposide,Etoposide,3220545.72,56711,2920,1017,56.78873093,1102.926616,3166.711622,2014
J8600,"Melphalan; oral, 2 mg",Alkeran (J8600),Melphalan,915131.69,100909,3861,1206,9.068880774,237.0193447,758.8156634,2014
J8610,"Methotrexate; oral, 2.5 mg",Methotrexate (J8610)*,Methotrexate Sodium*,26808.83,26419,971,234,1.014755668,27.60950566,114.5676496,2014
J8655,Netupitant 300 mg and palonosetron 0.5 mg,Akynzeo,Netupitant/Palonosetron HCL, , , , , , , ,2014
J8700,"Temozolomide, oral, 5 mg",Temodar (J8700)*,Temozolomide*,56006275.39,5216231,22209,5628,10.73692392,2521.782853,9951.363786,2014
J8705,"Topotecan, oral, 0.25 mg",Hycamtin (J8705),Topotecan HCL,3565501.51,39393,611,212,90.51104283,5835.51802,16818.40335,2014
J9000,"Injection, doxorubicin hydrochloride, 10 mg",Adriamycin*,Doxorubicin HCL*,1029768.81,339673.3,40165,10264,3.031644848,25.6384616,100.3282161,2014
J9017,"Injection, arsenic trioxide, 1 mg",Trisenox,Arsenic Trioxide,6939166.12,139110,6429,245,49.88258299,1079.353884,28323.12702,2014
J9025,"Injection, azacitidine, 1 mg",Azacitidine*,Azacitidine*,194394910.6,41886976,188065,8816,4.64093924,1033.6581,22050.2394,2014
J9027,"Injection, clofarabine, 1 mg",Clofarabine*,Clofarabine*,2545815.25,19714,346,84,129.1374277,7357.847543,30307.32441,2014
J9031,Bcg (intravesical) per instillation,BCG (Tice Strain) (J9031)*,BCG Live*,18314743.29,153453.8,150035,28303,119.3502102,122.0698057,647.0954772,2014
J9032,"Injection, belinostat, 10 mg",Beleodaq,Belinostat, , , , , , , ,2014
J9033,"Injection, bendamustine hcl (treanda), 1 mg",Treanda,Bendamustine HCL,303135490.6,14257139.6,74770,13338,21.26201322,4054.239543,22727.20727,2014
J9035,"Injection, bevacizumab, 10 mg",Avastin,Bevacizumab,1062350620,16399511.8,884465,216189,64.77940521,1201.122283,4913.990167,2014
J9039,"Injection, blinatumomab, 1 microgram",Blincyto,Blinatumomab, , , , , , , ,2014
